Followers,Following,Posts,Likes_Avg,Comments_Avg,Growth_Rate,Engagement_Rate,Follower_Following_Ratio,Comment_Like_Ratio,Likes_Per_Post,Comments_Per_Post,IF_Result,LOF_Result,Fraud_Risk_Score,Risk_Category
122958,1156,1486,6349,3485,12.464957168175982,7.997852925389156,106.3650519031142,0.5489053394235313,4.272543741588156,2.345222072678331,1,1,20.0,Safe
672155,2274,1748,7880,344,8.573664614296032,1.2235273114088268,295.5826737027265,0.0436548223350253,4.508009153318078,0.1967963386727688,1,1,20.0,Safe
132932,247,33,44257,157,11.666186642481936,33.41106731261096,538.1862348178138,0.0035474614185326,1341.121212121212,4.757575757575758,-1,-1,100.0,High Risk
366838,2721,965,37620,1426,15.446851589761811,10.643935470153036,134.81734656376332,0.0379053694843168,38.984455958549226,1.477720207253886,1,1,20.0,Safe
260178,3542,1896,22491,3056,4.3584265740049055,9.819046960158046,73.45511010728401,0.1358765728513627,11.8623417721519,1.6118143459915613,1,1,20.0,Safe
645167,2498,320,6665,431,16.216716890467744,1.0998702661481443,258.273418734988,0.0646661665416354,20.828125,1.346875,1,1,20.0,Safe
770920,520,1494,453,42,-0.927097380867732,0.0642089970424946,1482.5384615384614,0.0927152317880794,0.3032128514056225,0.0281124497991967,1,1,20.0,Safe
733180,1998,1241,38361,1140,1.7721513756593683,5.387626503723506,366.95695695695696,0.0297176820208023,30.91136180499597,0.918614020950846,1,1,20.0,Safe
55886,3949,1825,24759,2377,-3.916359501816856,48.55598897756146,14.15193719929096,0.0960054929520578,13.566575342465754,1.3024657534246575,1,1,20.0,Safe
138337,2060,1750,37701,3334,4.110670283381278,29.66306917166051,67.15388349514564,0.0884326675684995,21.54342857142857,1.9051428571428568,1,1,20.0,Safe
522430,3850,673,23484,954,4.497738620603007,4.677755871600023,135.6961038961039,0.0406234031681144,34.89450222882615,1.4175334323922737,1,1,20.0,Safe
955698,4168,447,21393,1378,15.131764930181273,2.382656445864698,229.29414587332053,0.0644135932314308,47.85906040268456,3.082774049217002,1,1,20.0,Safe
88498,3846,1571,15789,961,11.3282667572414,18.926981400709614,23.01040041601664,0.0608651592881119,10.050286441756842,0.6117122851686824,1,1,20.0,Safe
900159,4038,715,716,1706,5.918063953891666,0.2690635765459213,222.9219910846954,2.38268156424581,1.0013986013986014,2.386013986013986,1,-1,52.0,Review
964195,284,1369,133,4,11.302849465593706,0.0142087440818506,3395.0528169014083,0.0300751879699248,0.0971512052593133,0.0029218407596785,1,1,20.0,Safe
176203,978,431,27933,2487,-3.680416237107721,17.26417824895149,180.16666666666663,0.0890344753517345,64.80974477958236,5.770301624129931,1,1,20.0,Safe
192335,3657,1783,14113,1308,-0.4932115995405981,8.017781475030546,52.59365600218759,0.092680507333664,7.915311273135165,0.733595064498037,1,1,20.0,Safe
279167,572,330,33699,375,10.673696381043875,12.205597366450906,488.0541958041958,0.0111279266447075,102.11818181818182,1.1363636363636365,1,1,20.0,Safe
42090,3573,1530,34878,2985,11.034170480632556,89.95723449750534,11.780016792611251,0.0855840357818682,22.79607843137255,1.9509803921568627,1,1,20.0,Safe
